postal_cd,prefecture,city,town,full_address,longitude,latitude
070-0026,Hokkaido,Asahikawa City,Article 6 East,"Article 6 Higashikawa City, Asahikawa City, Hokkaido",142.3824,43.78598
815-0073,Fukuoka Prefecture,"Minami-ku, Fukuoka",Large pond,"Oike, Minami-ku, Fukuoka City, Fukuoka Prefecture",130.40758,33.55838
729-3403,Hiroshima,Fuchu City,Shiki on the upper and lower towns,"Daminated Hayami, Kami-down, Hiroshima City, Hiroshima Prefecture",133.17824,34.69866
769-0104,Kagawa Prefecture,Takamatsu City,Kokubunji-cho new name,"New name of Kokubunji-cho, Takamatsu City, Kagawa Prefecture",133.95695,34.28317
563-0354,Osaka prefecture,"Nose-cho, Toyono-gun",Mountain mountain,"Katayama, Nose-cho, Toyono-gun, Osaka",135.40498,34.95913
950-0215,Niigata Prefecture,"Gangnam-ku, Niigata City",Plain mountain,"Hirayama, Konan-ku, Niigata City, Niigata Prefecture",139.14615,37.88055
462-0842,Aichi prefecture,"Kita-ku, Nagoya",Shiga Minami-dori,"Shiga Minamidori, Kita-ku, Nagoya City, Aichi Prefecture",136.91118,35.19735
683-0302,Tottori prefecture,"Nambu-cho, Saihaku-gun",Western town,"Nishimachi, Minamibu-cho, Saihaku-gun, Tottori Prefecture",133.33636,35.37996
796-0010,Ehime Prefecture,Yawatahama City,Pine trash,"Matsukashiwa, Yawatahama City, Ehime Prefecture",132.4393,33.46166
299-1607,Chiba prefecture,Futtsu City,Miniature,"Minato, Futtsu City, Chiba Prefecture",139.87375,35.22623
925-0603,Ishikawa Prefecture,Hakui City,Fukumizu Town,"Fukumizu-cho, Hakui City, Ishikawa Prefecture",136.83774,36.88036
989-6447,Miyagi Prefecture,Osaki city,Iwadeyama Kamikanezawa,"Iwadeyama Kamikazawa, Osaki City, Miyagi Prefecture",140.86034,38.6465
409-2404,Yamanashi Prefecture,"Minobu-cho, Minami Koma-gun",Large,"Daigyo, Minami-cho, Minami-Koma-gun, Yamanashi Prefecture",138.48065,35.39362
999-3521,Yamagata Prefecture,"Kawakita-cho, Nishimurayama-gun",Rattle,"Taii, Kawakita-cho, Nishimurayama-gun, Yamagata Prefecture",140.32155,38.40236
872-0327,Oita Prefecture,Usa city,In-hospital town Shimonojiki,"Usa City, Oita Prefecture Inside Town",131.30415,33.44564
859-6123,Nagasaki Prefecture,Sasebo City,"Ogawanai, Egu-cho","Ogawanai, Egu-cho, Sasebo City, Nagasaki Prefecture",129.65176,33.29595
942-0247,Niigata Prefecture,Joetsu City,Hundreds of hundreds,"Shimohoku, Joetsu City, Niigata Prefecture",138.31432,37.14732
651-1104,Hyogo prefecture,"Kita-ku, Kobe","Aina, Yamada-cho","Aina, Yamada-cho, Kita-ku, Kobe-shi, Hyogo",135.11473,34.7313
036-0307,Aomori Prefecture,Kuroishi City,Ichinomachi,"Nomachi, Kuroishi City, Aomori Prefecture",140.59409,40.64241
516-2104,Mie Prefecture,County County Town,Makito,"Makoto-cho, Mie-gun, Makito-cho, Makito",136.60962,34.44444
441-1633,Aichi prefecture,Shinshiro City,Paradise,"Ride book, Shinshiro City, Aichi Prefecture",137.57713,34.91729
939-0716,Toyama Prefecture,"Asahi-cho, Shimonokawa-gun",Nanpo Town,"Minamiho-cho, Asahi-cho, Shimoshinokawa-gun, Toyama Prefecture",137.57872,36.93068
984-0813,Miyagi Prefecture,"Wakabayashi-ku, Sendai",Sixty town,"60 people in Wakabayashi-ku, Sendai City, Miyagi Prefecture",140.89612,38.24432
182-0012,Tokyo,Chofu city,Jindaiji Higashimachi,"Chofu-shi, Tokyo, Jindaiji Temple Higashi-cho",139.55756,35.6702
999-8223,Yamagata Prefecture,Sakata City,Southern plain,"Minamihirasawa, Sakata City, Yamagata Prefecture",139.93991,38.9444
959-1513,Niigata Prefecture,"Togami-cho, Minami-Kamabara-gun",River ship,"Kawakawahe, Togami-cho, Minami Kamabara-gun, Niigata Prefecture",139.06532,37.67609
018-1522,Akita,"Igawa-cho, Minamiakita-gun",Honoko,"Yasuko, Igawa-cho, Minami Akita-gun, Akita Prefecture",140.10172,39.91279
086-1645,Hokkaido,"Betsumi-cho, Nobu-gun",Random,"Nobukai-cho, Nobu-gun, Hokkaido",145.3237,43.58229
988-0803,Miyagi Prefecture,Kesennuma City,Upper eastern side,"Kisenuma City, Miyagi Prefecture",141.57281,38.95316
920-2321,Ishikawa Prefecture,Hakusan City,Kino,"Yoshino, Hakusan City, Ishikawa Prefecture",136.63226,36.35785
753-0824,Yamaguchi Prefecture,Yamaguchi City,Hozumi Town,"Hozumi-cho, Yamaguchi City, Yamaguchi Prefecture",131.4556,34.15513
078-8311,Hokkaido,Asahikawa City,Kaguraoka 1,"Kaguraoka, Asahikawa City, Hokkaido",142.37556,43.74721
663-8006,Hyogo prefecture,Nishinomiya City,Danjo-cho,"Danigami-cho, Nishinomiya City, Hyogo Prefecture",135.36746,34.76676
501-0811,Gifu Prefecture,"Ibigawa-cho, Ibi-gun",Mound,"Tsuka, Ibigawa-cho, Ibi-gun, Gifu Prefecture",136.37592,35.75443
981-0944,Miyagi Prefecture,"Aoba Ward, Sendai City",Kodaira town,"Kohira-cho, Aoba-ku, Sendai-shi, Miyagi",140.84949,38.27639
512-0932,Mie Prefecture,Yokkaichi City,Small town,"Yokkaichi City, Mie Prefecture, Koyocho",136.57729,34.97513
600-8837,Kyoto,"Shimogyo-ku, Kyoto",Ibubaba-cho,"Kyoto-shi-shi, Kyoto, Shimogyo-ku",135.74527,34.99033
359-0037,Saitama,Tokorozawa city,Kusunokidai,"Kusunokidai, Tokorozawa City, Saitama Prefecture",139.47763,35.78706
505-0301,Gifu Prefecture,"Yaotsu-cho, Kamo-gun",Yaotsu,"Yaotsu, Yaotsu-cho, Kamo-gun, Gifu Prefecture",137.14825,35.49408
360-0218,Saitama,Kumagaya City,Eight-mouth,"Yatsuguchi, Kumagaya City, Saitama Prefecture",139.39142,36.21518
340-0035,Saitama,Soka,Western town,"Nishimachi, Soka City, Saitama Prefecture",139.79083,35.82825
999-8435,Yamagata Prefecture,"Yusa-cho, Hankai-gun",Fountain,"Shoizumi, Yusa-cho, Haekai-gun, Yamagata Prefecture",139.88432,39.00869
987-0426,Miyagi Prefecture,Tome city,Obukuro Obukuro,"Obukuro, Minamigata-cho, Tome City, Miyagi Prefecture",141.14737,38.64603
939-0284,Toyama Prefecture,Firing city,New development,"Newly developed in Imizu City, Toyama Prefecture",137.07635,36.73078
400-0813,Yamanashi Prefecture,Kofu City,Motion town,"Mukomachi, Kofu City, Yamanashi Prefecture",138.61609,35.64694
920-0263,Ishikawa Prefecture,"Uchinada-cho, Kawakita-gun",Larring,"Kihei-gun, Uchinada-cho, Kawakita-gun, Ishikawa, Ishikawa Prefecture",136.68015,36.6772
607-8401,Kyoto,"Yamashina-ku, Kyoto",Milo Rivergawa Town,"Gozawa no Kawamachi, Yamashina-ku, Kyoto-shi, Kyoto",135.81418,35.00386
091-0026,Hokkaido,Kitami City,Rumibe-cho Town Asahi Park,"Asahi Park, Rudobe-cho, Kitami-shi, Hokkaido",143.61391,43.77302
016-0161,Akita,Noshiro City,Pine length cloth,"Matsunaga cloth, Noshiro City, Akita Prefecture",140.03542,40.1838
475-0883,Aichi prefecture,Handa City,Myomicho,"Myomi-cho, Handa City, Aichi Prefecture",136.93135,34.89045
038-0101,Aomori Prefecture,Hirakawa City,Iwai Ikarikari,"Hirakawa City, Aomori Prefecture Ikarikanikaiwai",140.63666,40.4612
569-1021,Osaka prefecture,Takatsuki city,Yayoi Gaoka Town,"Yayoi, Takatsuki City, Osaka Prefecture",135.61778,34.87657
039-1561,Aomori Prefecture,"Gonohe-cho, Sannohe-gun",Ochikakezawa Road Shimomo,"Gokkakezawa Road, Gonohe-cho, Sannohe-gun, Aomori Prefecture",141.31186,40.54979
796-0048,Ehime Prefecture,Yawatahama City,North beach,"Kitahama, Yawatahama City, Ehime Prefecture",132.42337,33.46252
997-0028,Yamagata Prefecture,Tsuruoka City,Sanno Town,"Sanno-cho, Tsuruoka City, Yamagata Prefecture",139.8345,38.73154
